Questions,Answers,Skills
What are JavaScript Data Types?,"Number
String
Boolean
Object
Undefined",Scripting language (eg:JavaScript)
What is 'this' keyword in JavaScript?,This' keyword refers to the object from where it was called,Scripting language (eg:JavaScript)
"Explain the difference between ""=="" and ""===""?","""=="" checks only for equality in value whereas ""==="" is a stricter equality test and returns false if either the value or the type of the two variables are different.",Scripting language (eg:JavaScript)
How are DOM utilized in JavaScript?,"DOM stands for Document Object Model and is responsible for how various objects in a document interact with each other. DOM is required for developing web pages, which includes objects like paragraph, links, etc. These objects can be operated to include actions like add or delete. DOM is also required to add extra capabilities to a web page. On top of that, the use of API gives an advantage over other existing models.",Scripting language (eg:JavaScript)
What is called Variable typing in Javascript?,Variable typing is used to assign a number to a variable and the same variable can be assigned to a string.,Scripting language (eg:JavaScript)
What is the use of Void(0)?,"Void(0) is used to prevent the page from refreshing and parameter ""zero"" is passed while calling.

Void(0) is used to call another method without refreshing the page.",Scripting language (eg:JavaScript)
How to add one new element at end of an array in javascript?,Push method adds one or more elements to the end of an array and returns the new length of the array,Scripting language (eg:JavaScript)
"Difference between ""var"" and ""let"" keywords?","Var was there from the beginning but the let was introduced in ES2015/ES6.
Let has block scope and “Var” has function scope",Scripting language (eg:JavaScript)
What is prototypal Inheritance?,"Every object has a property called a prototype, where we can add methods to it and when you create another object from these the newly created object will automatically inherit its parent’s property.",Scripting language (eg:JavaScript)
What are JavaScript Cookies,Cookies are the small test files stored in a computer and it gets created when the user visits the websites to store information that they need. Example could be User Name details and shopping cart information from the previous visits.,Scripting language (eg:JavaScript)
Whether JavaScript has concept level scope?No,No. JavaScript does not have concept level scope. The variable declared inside the function has scope inside the function.,Scripting language (eg:JavaScript)
What is the difference between ViewState and SessionState?,"ViewState' is specific to a page in a session.

'SessionState' is specific to user specific data that can be accessed across all pages in the web application",Scripting language (eg:JavaScript)
Explain how can you submit a form using JavaScript?,To submit a form using JavaScript use document.form[0].submit();,Scripting language (eg:JavaScript)
What is break and continue statements?,"Break statement exits from the current loop.

Continue statement continues with next statement of the loop.",Scripting language (eg:JavaScript)
Explain window.onload and onDocumentReady?,"The onload function is not run until all the information on the page is loaded. This leads to a substantial delay before any code is executed.

onDocumentReady loads the code just after the DOM is loaded. This allows early manipulation of the code.",Scripting language (eg:JavaScript)
Define event bubbling?,"JavaScript allows DOM elements to be nested inside each other. In such a case, if the handler of the child is clicked, the handler of parent will also work as if it were clicked too.",Scripting language (eg:JavaScript)
How can we read the properties of an object in js?,Can write and read properties of an object using the dot(.) notation.,Scripting language (eg:JavaScript)
How to define an anonymous function?,An anonymous function can be defined in a similar way as a normal function but it would not have any name.,Scripting language (eg:JavaScript)
"Which type of variable among global and local, takes precedence over other if names are same?","A local variable takes precedence over a global variable with the same name.
",Scripting language (eg:JavaScript)
,,Scripting language (eg:JavaScript)
