,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,number string boolean object undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,keyword refers,object,called,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"value whereas ""===""",stricter equality test,two variables,returns false,"""=="" checks",value,equality,type,either,different,,,,,,,,,,,,,,,,,,,,,,,,,
3,include actions like add,includes objects like paragraph,add extra capabilities,document object model,developing web pages,web page,document interact,various objects,existing models,api gives,dom stands,also required,objects,required,dom,use,top,responsible,operated,links,etc,delete,advantage,,,,,,,,,,,,
4,variable typing,variable,used,string,number,assigned,assign,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,call another method without refreshing,refreshing,zero,void,used,prevent,passed,parameter,page,calling,0,,,,,,,,,,,,,,,,,,,,,,,,
6,push method adds one,new length,returns,end,elements,array,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,“ var ”,function scope,block scope,var,let,introduced,es6,es2015,beginning,,,,,,,,,,,,,,,,,,,,,,,,,,
8,newly created object,create another object,every object,parent ’,automatically inherit,add methods,property called,property,prototype,,,,,,,,,,,,,,,,,,,,,,,,,,
9,small test files stored,user name details,shopping cart information,user visits,store information,previous visits,gets created,example could,websites,need,cookies,computer,,,,,,,,,,,,,,,,,,,,,,,
10,variable declared inside,concept level scope,scope inside,javascript,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,user specific data,web application,accessed across,specific,viewstate,sessionstate,session,pages,page,,,,,,,,,,,,,,,,,,,,,,,,,,
12,form using javascript use document,0 ]. submit ();,form,submit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,continue statement continues,break statement exits,next statement,current loop,loop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,allows early manipulation,substantial delay,onload function,ondocumentready loads,run,page,loaded,leads,information,executed,dom,code,,,,,,,,,,,,,,,,,,,,,,,
15,javascript allows dom elements,nested inside,also work,parent,handler,clicked,child,case,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,read properties,object using,dot (.),write,notation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,similar way,normal function,anonymous function,would,name,defined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,local variable takes precedence,global variable,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,time entity,new keyword,instance variables,instance,using,state,real,object,methods,java,created,class,behavior,,,,,,,,,,,,,,,,,,,,,,
21,object whose method,current object —,current object,instance method,within,using,reference,refer,member,constructor,called,,,,,,,,,,,,,,,,,,,,,,,,
22,object class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,object class,superclass,java,classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,parameterized constructor,default constructor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,data type,arguments accepted,yes,parameters,overloaded,number,constructors,constructor,changing,,,,,,,,,,,,,,,,,,,,,,,,,,
26,immediate parent class instance variable,invoke immediate parent class constructor,immediate parent class method,following uses,super keyword,super (),invoke,super,used,refer,,,,,,,,,,,,,,,,,,,,,,,,,
27,private method cannot,overridden since,visible,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,super () must,first statement,class constructor,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,using method overloading,main methods,java program,yes,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,another like copy constructor,clone () method,copy constructor,one object,object class,many ways,c ++.,another,copy,constructor,values,java,however,assigning,,,,,,,,,,,,,,,,,,,,,
31,two main restrictions,static data member,static method directly,static method,static methods,static context,super cannot,use non,static,non,used,call,applied,,,,,,,,,,,,,,,,,,,,,,
